Original Stub Packed With UPX

Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
00401072  push installer_1vs100.4AB664                                      "wxp"
00401089  push installer_1vs100.4AB65C                                      "wxp64"
004010A0  push installer_1vs100.4AB654                                      "wvista"
004010B7  push installer_1vs100.4AB650                                      "w7"
004010CE  push installer_1vs100.4AB64C                                      "w8"
004010E5  push installer_1vs100.4AB648                                      "w81"
004010FC  push installer_1vs100.4AB644                                      "wx"
00401124  push installer_1vs100.4AB63C                                      "mac106"
0040113B  push installer_1vs100.4AB634                                      "mac107"
00401152  push installer_1vs100.4AB62C                                      "mac108"
00401169  push installer_1vs100.4AB624                                      "mac109"
00401180  push installer_1vs100.4AB61C                                      "mac1010"
00401197  push installer_1vs100.4AB614                                      "unknown"
004011F9  push installer_1vs100.4AB614                                      "unknown"
0040120A  push installer_1vs100.4AB66C                                      "x86_64"
0040121B  push installer_1vs100.4AB668                                      "x86"
00401254  push installer_1vs100.4AB704                                      "--------------- "
00401264  push installer_1vs100.4AB6F0                                      " ---------------"
00401276  push installer_1vs100.4AB6C4                                      "ActiveMARK Installer v1.20.128 [Acid R1.20]"
004012D0  push installer_1vs100.4AB6B4                                      "Command Line = "
00401329  push installer_1vs100.4AB6A0                                      "Stamped Data = "
0040134B  push installer_1vs100.4AB690                                      ", affiliate:"
00401359  push installer_1vs100.4AB680                                      "installationid:"
004013C2  push installer_1vs100.4AB674                                      ", language:"
004014AB  push installer_1vs100.4AB7A4                                      "%u.%02u"
004014B9  push installer_1vs100.4AB774                                      "http://logging.gamehouse.com/arcade/sites.html?"
004014F2  push installer_1vs100.4AB760                                      "&errdesc=exception:"
00401508  push installer_1vs100.4AB754                                      "&state=fail"
0040151E  push installer_1vs100.4AB740                                      "&browserversion="
00401534  push installer_1vs100.4AB738                                      "&arch="
0040154D  push installer_1vs100.4AB730                                      "&os="
0040157F  push installer_1vs100.4AB718                                      "component=acid&version="
0040182B  push installer_1vs100.4AB8B0                                      L"Unknown Internal Error"
00401830  push installer_1vs100.4AB7B0                                      L"An unexpected error occurred. Please restart the installer and try again. If the problem persists, please go to our help pages."
0040188E  push installer_1vs100.4AB8E0                                      "invalid string position"
00401AAD  push installer_1vs100.4AB8F8                                      "string too long"
00401B65  push installer_1vs100.4AB8E0                                      "invalid string position"
00401BA1  push installer_1vs100.4AB8F8                                      "string too long"
00401CAF  push installer_1vs100.4AB8F8                                      "string too long"
00401DF6  push installer_1vs100.4AB9E4                                      "silent mode"
00401E17  push installer_1vs100.4AB9DC                                      "silent"
